size,count
816,1
817,3
819,3
820,3
822,1
823,1
824,4
825,2
826,1
827,1
829,1
830,1
831,1
833,2
834,1
835,3
836,2
837,4
838,6
840,1
841,1
842,5
843,2
844,1
845,1
846,1
847,1
848,1
849,3
851,2
852,1
853,1
854,2
855,1
856,2
857,2
858,1
859,1
860,3
861,2
862,1
863,3
864,1
865,3
866,1
867,2
868,3
869,1
870,1
871,4
872,2
873,2
874,1
875,1
877,2
878,1
879,3
880,1
881,1
882,2
883,4
884,1
886,1
887,1
888,1
889,2
890,2
892,1
894,1
895,3
896,1
900,1
901,3
902,3
903,1
904,1
905,1
907,2
910,3
911,6
912,1
914,1
915,1
916,1
917,1
918,1
919,1
920,2
922,4
924,2
926,3
928,2
929,2
930,1
931,1
932,4
935,1
936,1
937,1
938,1
941,3
942,3
946,4
947,1
948,2
949,2
950,1
951,2
952,2
953,2
954,2
955,2
956,2
957,1
958,1
959,4
960,2
961,1
962,2
964,2
965,2
967,3
968,1
969,2
970,3
971,1
972,2
975,1
976,1
977,2
979,1
980,2
982,1
985,1
986,4
988,3
989,1
991,2
992,2
993,3
994,1
995,1
996,2
997,1
999,2
1001,1
1002,2
1005,1
1006,2
1008,2
1009,2
1012,1
1016,2
1018,1
1019,2
1022,1
1023,1
1025,3
1026,1
1027,3
1029,1
1030,1
1031,1
1033,1
1034,1
1036,1
1037,1
1039,1
1040,1
1041,1
1042,1
1043,2
1045,1
1051,2
1052,1
1053,1
1054,1
1057,2
1058,2
1059,1
1062,1
1064,1
1065,1
1067,1
1068,1
1069,1
1071,2
1072,1
1073,2
1074,3
1075,1
1077,2
1078,1
1079,2
1080,6
1081,2
1082,2
1083,2
1084,2
1085,3
1086,1
1089,2
1090,1
1091,2
1092,2
1093,5
1095,1
1097,1
1098,1
1099,1
1100,4
1104,1
1105,1
1107,1
1109,1
1110,2
1111,1
1115,1
1118,1
1119,1
1120,3
1121,2
1123,2
1124,3
1128,1
1129,2
1132,1
1135,2
1136,2
1139,1
1140,3
1141,2
1142,1
1143,2
1144,2
1146,1
1147,1
1148,1
1151,1
1153,1
1154,2
1158,2
1161,2
1163,2
1164,2
1165,1
1167,2
1168,1
1170,2
1171,1
1173,2
1175,1
1176,2
1177,2
1179,1
1182,1
1183,1
1185,1
1186,2
1190,1
1193,2
1195,2
1197,3
1198,2
1200,1
1201,1
1202,1
1203,1
1205,1
1207,2
1208,3
1209,1
1210,1
1212,2
1216,1
1221,2
1222,1
1224,1
1225,1
1234,1
1237,2
1239,1
1240,1
1241,1
