age,mean_size,sd_size,n
1175,1,0,4
1176,1,0,9
1177,1,0,8
1178,1,0,11
1179,1,0,15
1180,1,0,9
1181,1,0,6
1182,1,0,16
1183,1,0,6
1184,1,0,5
1185,1,0,5
1186,1,0,7
1187,1,0,10
1188,1,0,7
1189,1,0,5
1190,1,0,7
1191,1,0,15
1192,1,0,12
1193,1,0,8
1194,1,0,8
1195,1,0,11
1196,1,0,1
1197,1,0,9
1198,1,0,20
1199,1,0,11
1200,1,0,12
1201,1,0,13
1202,1,0,10
1203,1,0,6
1204,1,0,9
1205,1,0,10
1206,1,0,5
1207,1,0,10
1208,1,0,6
1209,1,0,4
1210,1.2,0.4472,5
1211,1,0,6
1212,1,0,7
1213,1,0,13
1214,1,0,15
1215,1,0,6
1216,1,0,8
1217,1,0,19
1218,1,0,8
1219,1,0,6
1220,1,0,11
1221,1,0,16
1222,1,0,2
1223,1,0,8
1224,1,0,6
1225,1.0526,0.2294,19
1226,1,0,22
1227,1,0,25
1228,1,0,19
1229,1,0,3
1230,1,0,11
1231,1,0,10
1232,1,0,12
1233,1,0,5
1234,1,0,2
1235,1.1111,0.3333,9
1236,1,0,12
1237,1,0,10
1238,1,0,20
1239,1,0,5
1240,1,0,12
1241,1,0,20
1242,1,0,11
1243,1,0,10
1244,1,0,19
1245,1,0,7
1246,1,0,8
1247,1,0,13
1248,1,0,15
1249,1,0,7
1250,1,0,4
1251,1,0,10
1252,1,0,3
1253,1,0,11
1254,1,0,13
1255,1,0,5
1256,1,0,9
1257,1,0,4
1258,1,0,9
1259,1,0,16
1260,1,0,13
1261,1,0,8
1262,1,0,9
1263,1,0,5
1264,1.1429,0.378,7
1265,1,0,7
1266,1,0,11
1267,1,0,9
1268,1,0,8
1269,1,0,8
1270,1,0,5
1271,1,0,3
1272,1,0,2
1273,1,0,9
1274,1,0,7
1275,1,0,9
1276,1,0,7
1277,1,0,12
1278,1,0,13
1279,1,0,6
1280,1,0,2
1281,1,0,4
1282,1,0,9
1283,1,0,7
1284,1,0,8
1285,1,0,8
1286,1,0,9
1287,1.0769,0.2774,13
1288,1,0,14
1289,1,0,17
1290,1,0,24
1291,1,0,7
1292,1,0,7
1293,1,0,4
1294,1,0,4
1295,1,0,12
1296,1,0,6
1297,1,0,4
1298,1,0,5
1299,1,0,4
1300,1,0,5
1301,1,0,19
1302,1,0,6
1303,1,0,2
1304,1,0,8
1305,1,0,11
1306,1,0,6
1307,1,0,14
1308,1,0,4
1309,1,0,9
1310,1,0,6
1311,1,0,7
1312,1,0,9
1313,1,0,7
1314,1,0,10
1315,1,0,5
1316,1,0,9
1317,1,0,9
1318,1,0,6
1319,1,0,10
1320,1,0,12
1321,1,0,15
1322,1,0,15
1323,1,0,10
1324,1,0,6
1325,1,0,14
1326,1,0,6
1327,1,0,4
1328,1,0,8
1329,1,0,7
1330,1,0,3
1331,1,0,12
1332,1,0,3
1333,1,0,11
1334,1,0,7
1335,1,0,8
1336,1,0,4
1337,1,0,6
1338,1,0,3
1339,1,0,15
1340,1,0,7
1341,1,0,4
1342,1,0,3
1343,1,0,8
1344,1,0,2
1345,1,0,7
1346,1,0,5
1347,1,0,3
1348,1,0,14
1349,1,0,12
1350,1,0,5
1351,1,0,9
1352,1,0,9
1353,1,0,12
1354,1,0,5
1355,1,0,15
1356,1,0,6
1357,1,0,4
1358,1,0,5
1359,1,0,10
1360,1,0,5
1361,1,0,2
1362,1,0,5
1363,1,0,7
1364,1.1538,0.5547,13
1365,1,0,4
1366,1,0,9
1367,1,0,20
1368,1,0,6
1369,1.1667,0.4082,6
1370,1,0,8
1371,1,0,9
1372,1,0,5
1373,1,0,11
1374,1,0,9
1375,1,0,10
1376,1,0,8
1377,1,0,4
1378,1,0,3
1379,1,0,8
1380,1,0,10
1381,1,0,6
1382,1,0,10
1383,1,0,15
1384,1,0,1
1385,1,0,14
1386,1,0,6
1387,1,0,9
1388,1,0,7
1389,1,0,9
1390,1,0,15
1391,1,0,3
1392,1,0,4
1393,1,0,3
1394,1,0,3
1395,1,0,5
1396,1,0,2
1397,1,0,8
1398,1,0,7
1399,1,0,6
1400,1,0,13
1401,1,0,6
1402,1,0,4
1403,1,0,8
1404,1,0,9
1405,1,0,3
1406,1,0,8
1407,1,0,24
1408,1,0,7
1409,1,0,4
1410,1,0,4
1411,1,0,6
1412,1,0,6
1413,1,0,8
1414,1,0,3
1415,1,0,7
1416,1,0,5
1417,1,0,6
1418,1,0,4
1419,1,0,5
1420,1,0,9
1421,1,0,3
1422,1,0,2
1423,1,0,8
1424,1,0,9
1425,1,0,5
1426,1,0,6
1427,1,0,12
1428,1,0,6
1429,1,0,3
1430,1,0,5
1431,1,0,4
1432,1,0,9
1433,1,0,7
1434,1,0,3
1435,1,0,16
1436,1,0,4
1437,1,0,8
1438,1,0,7
1439,1,0,5
1440,1,0,5
1441,1,0,11
1442,1,0,3
1443,1,0,5
1444,1,0,7
1445,1,0,8
1446,1,0,5
1447,1,0,8
1448,1,0,6
1449,1,0,10
1450,1,0,10
1451,1,0,4
1452,1,0,3
1453,1,0,14
1454,1,0,7
1455,1,0,5
1456,1,0,6
1457,1,0,9
1458,1,0,4
1459,1,0,5
1460,1,0,3
1461,1,0,12
1462,1,0,7
1463,1,0,8
1464,1,0,8
1465,1,0,4
1466,1,0,1
1467,1,0,2
1468,1,0,3
1469,1,0,5
1470,1,0,11
1471,1,0,5
1472,1,0,5
1473,1,0,3
1474,1,0,5
1475,1,0,8
1476,1,0,13
1477,1,0,7
1478,1,0,2
1479,1,0,5
1480,1,0,4
1481,1,0,6
1482,1,0,6
1483,1,0,2
1484,1,0,6
1485,1,0,4
1486,1,0,5
1487,1,0,8
1488,1,0,19
1489,1,0,7
1490,1,0,7
1491,1,0,11
1492,1,0,11
1493,1,0,7
1494,1,0,2
1495,1,0,4
1496,1,0,5
1497,1,0,6
1498,1,0,17
1499,1,0,5
1500,1,0,7
1501,1,0,6
1502,1,0,4
1503,1,0,4
1504,1,0,6
1505,1,0,3
1506,1,0,7
1507,1,0,5
1508,1,0,6
1509,1,0,6
1510,1,0,10
1511,1,0,7
1512,1.2,0.4472,5
1513,1,0,7
1514,1,0,3
1515,1,0,4
1516,1,0,11
1517,1,0,9
1518,1,0,7
1519,1,0,9
1520,1,0,2
1521,1,0,1
1522,1,0,2
1523,1,0,6
1524,1,0,6
1525,1,0,6
1526,1,0,8
1527,1,0,6
1528,1,0,10
1529,1,0,7
1530,1,0,11
1531,1,0,7
1532,1,0,5
1533,1,0,5
1534,1,0,8
1535,1,0,1
1536,1,0,6
1537,1,0,11
1538,1,0,3
1539,1,0,7
1540,1,0,2
1541,1,0,5
1542,1,0,4
1543,1,0,6
1544,1,0,3
1545,1,0,6
1546,1,0,4
1547,1,0,6
1548,1,0,8
1549,1,0,7
1550,1,0,7
1551,1,0,1
1553,1,0,7
1554,1,0,4
1555,1,0,5
1556,1,0,6
1557,1,0,7
1558,1,0,2
1559,1,0,4
1560,1,0,4
1561,1,0,2
1562,1,0,6
1563,1,0,3
1564,1,0,10
1565,1,0,2
1566,1,0,7
1567,1,0,6
1568,1,0,4
1569,1,0,6
1570,1,0,3
1571,1,0,5
1572,1,0,6
1573,1,0,7
1575,1,0,1
1576,1,0,13
1577,1,0,7
1578,1,0,5
1579,1,0,2
1580,1,0,6
1581,1,0,2
1582,1,0,7
1583,1,0,3
1584,1,0,9
1585,1,0,12
1586,1,0,4
1587,1,0,7
1588,1,0,11
1589,1,0,14
1590,1,0,10
1591,1,0,9
1592,1,0,9
1593,1,0,3
1594,1,0,1
1595,1,0,3
1596,1,0,7
1597,1,0,6
1598,1,0,1
1599,1,0,6
1600,1,0,4
1601,1,0,6
1602,1,0,6
1603,1,0,4
1604,1,0,2
1605,1,0,5
1606,1,0,3
1607,1,0,1
1608,1,0,7
1609,1,0,4
1610,1,0,10
1611,1,0,4
1612,1,0,1
1613,1.0909,0.3015,11
1614,1,0,6
1615,1,0,3
1616,1,0,2
1617,1,0,4
1618,1,0,1
1619,1,0,5
1620,1,0,5
1621,1,0,4
1622,1,0,6
1623,1,0,9
1624,1,0,8
1625,1,0,2
1626,1,0,1
1627,1,0,5
1628,1,0,6
1629,1,0,1
1630,1,0,10
1631,1,0,5
1632,1,0,3
1633,1,0,5
1634,1,0,9
1635,1,0,6
1636,1,0,7
1637,1,0,3
1638,1,0,1
1639,1,0,8
1640,1,0,6
1641,1,0,5
1642,1,0,5
1643,1,0,4
1644,1,0,2
1645,1,0,5
1646,1,0,3
1647,1,0,1
1648,1,0,4
1649,1,0,4
1650,1,0,3
1651,1,0,11
1652,1,0,7
1653,1,0,13
1654,1,0,3
1655,1,0,7
1656,1,0,1
1657,1,0,2
1658,1,0,5
1659,1,0,2
1660,1,0,2
1661,1,0,4
1662,1,0,2
1663,1,0,5
1664,1,0,5
1665,1,0,10
1666,1,0,5
1667,1,0,6
1668,1,0,10
1669,1,0,4
1670,1,0,4
1671,1,0,8
1672,1,0,7
1673,1,0,1
1674,1,0,1
1675,1,0,3
1676,1,0,10
1677,1,0,1
1678,1,0,3
1680,1,0,4
1681,1,0,6
1682,1,0,7
1683,1,0,6
1684,1,0,4
1685,1,0,6
1686,1,0,5
1687,1,0,7
1688,1,0,9
1689,1,0,6
1690,1,0,8
1691,1,0,1
1692,1,0,3
1694,1,0,3
1695,1,0,2
1696,1,0,4
1697,1,0,13
1698,1,0,12
1699,1,0,2
1700,1,0,6
1701,1,0,5
1702,1,0,7
1703,1,0,4
1704,1,0,2
1705,1,0,5
1706,1,0,5
1707,1,0,7
1708,1,0,5
1709,1,0,6
1710,1,0,2
1711,1,0,8
1712,1,0,8
1713,1,0,3
1714,1,0,2
1715,1,0,6
1716,1,0,7
1717,1,0,6
1718,1,0,4
1719,1,0,5
1720,1,0,9
1721,1,0,2
1722,1,0,4
1723,1,0,6
1724,1,0,3
1725,1,0,6
1726,1,0,6
1727,1,0,2
1728,1,0,1
1729,1,0,4
1730,1,0,5
1731,1,0,8
1732,1,0,4
1733,1.25,0.7071,8
1734,1,0,3
1735,1,0,2
1736,1,0,1
1737,1,0,4
1738,1,0,2
1739,1,0,7
1740,1,0,2
1741,1,0,2
1742,1,0,15
1743,1,0,3
1744,1,0,5
1745,1,0,5
1746,1,0,4
1747,1,0,5
1748,1,0,6
1749,1,0,4
1750,1,0,4
1751,1,0,3
1752,1,0,4
1753,1,0,2
1754,1,0,3
1755,1,0,2
1756,1,0,8
1757,1,0,5
1758,1,0,2
1759,1,0,5
1760,1,0,10
1761,1,0,7
1762,1,0,3
1763,1,0,9
1764,1,0,2
1765,1,0,4
1766,1,0,4
1767,1,0,4
1768,1,0,8
1769,1,0,6
1770,1,0,7
1771,1.3333,0.5774,3
1772,1,0,5
1773,1,0,3
1774,1,0,4
1775,1,0,4
1776,1,0,9
1777,1,0,5
1778,1,0,2
1779,1,0,7
1780,1,0,5
1781,1,0,2
1782,1,0,5
1783,1,0,5
1784,1,0,3
1785,1,0,2
1786,1,0,3
1787,1,0,5
1788,1,0,9
1789,1,0,6
1790,1,0,14
1791,1,0,1
1792,1,0,6
1793,1,0,6
1794,1,0,3
1795,1,0,3
1796,1,0,6
1798,1,0,2
1799,1,0,2
1800,1,0,4
1801,1,0,6
1802,1,0,7
1803,1,0,2
1804,1,0,3
1805,1,0,11
1806,1,0,4
1807,1,0,4
1808,1,0,10
1809,1,0,5
1810,1,0,7
1811,1,0,5
1812,1,0,2
1813,1,0,2
1814,1,0,1
1815,1,0,2
1816,1,0,7
1817,1,0,5
1818,1,0,5
1819,1,0,3
1820,1,0,6
1821,1,0,5
1822,1,0,2
1823,1.6667,1.633,6
1824,1,0,9
1825,1,0,6
1826,1,0,2
1827,1,0,4
1828,1,0,12
1829,1,0,3
1830,1,0,6
1831,1,0,5
1832,1,0,2
1834,1,0,8
1835,1,0,4
1836,1,0,4
1837,1,0,3
1839,1,0,2
1840,1,0,6
1841,1,0,13
1842,1,0,3
1843,1,0,2
1844,1,0,3
1845,1,0,3
1846,1,0,3
1847,1,0,7
1848,1,0,1
1849,1,0,4
1850,1,0,3
1851,1,0,4
1852,1,0,4
1853,1,0,2
1854,1,0,3
1855,1,0,5
1856,1,0,1
1857,1,0,3
1858,1,0,3
1859,1,0,4
1860,1,0,3
1861,1,0,10
1862,1,0,8
1863,1,0,1
1864,1,0,2
1865,1,0,5
1866,1,0,2
1867,1,0,9
1868,1,0,7
1869,1,0,3
1870,1,0,1
1871,1,0,3
1872,1,0,1
1874,1,0,3
1875,1,0,4
1876,1,0,7
1877,1,0,2
1878,1,0,2
1879,1,0,5
1880,1,0,5
1881,1,0,4
1882,1,0,3
1883,1,0,8
1884,1,0,7
1885,1,0,2
1886,1,0,9
1888,1,0,3
1889,1,0,2
1890,1,0,7
1891,1,0,1
1892,1,0,5
1893,1,0,1
1894,1,0,3
1895,1,0,5
1896,1,0,3
1897,1,0,2
1898,1,0,7
1899,1,0,11
1900,1,0,6
1901,1,0,5
1902,1,0,9
1903,1,0,6
1904,1,0,8
1905,1,0,4
1906,1,0,3
1907,1,0,3
1908,1,0,1
1909,1,0,2
1910,1,0,11
1911,1,0,5
1912,1,0,3
1913,1,0,6
1914,1,0,3
1915,1,0,9
1916,1,0,7
1917,1,0,4
1918,1,0,8
1919,1,0,5
1920,1,0,1
1921,1,0,4
1922,1,0,9
1923,1,0,7
1924,1,0,3
1925,1,0,2
1926,1,0,6
1927,1,0,4
1928,1,0,3
1929,1,0,4
1930,1,0,4
1931,1,0,4
1932,1,0,2
1933,1,0,7
1934,1,0,3
1935,1,0,1
1936,1,0,6
1937,1,0,3
1938,1,0,3
1939,1,0,2
1940,1,0,3
1941,1,0,4
1942,1,0,6
1944,1,0,2
1945,1,0,1
1946,1,0,7
1948,1,0,4
1950,1,0,1
1952,1,0,3
1953,1,0,3
1954,1,0,2
1955,1,0,4
1956,1,0,2
1957,1,0,2
1959,1,0,3
1960,1,0,2
1961,1,0,3
1962,1,0,4
1964,1,0,5
1965,1,0,2
1966,1,0,2
1967,1,0,2
1968,1,0,2
1969,1,0,1
1970,1,0,2
1971,1,0,3
1972,1,0,3
1974,1,0,1
1975,1,0,3
1976,1,0,1
1977,1,0,4
1978,1,0,1
1979,1,0,2
1982,1,0,2
1983,1,0,1
1984,1,0,3
1986,1,0,3
1987,1,0,2
1988,1,0,2
2000,1.0015,0.0387,668
