age,mean_size,sd_size,n
216,10.4224,56.8708,1816
217,13.5698,142.3758,537
218,10.4149,54.9187,388
219,15.791,141.9856,708
220,9.9661,51.9972,796
221,15.7756,208.1067,606
222,13.3219,68.8987,730
223,174.5974,4590.0544,862
224,10.2991,52.6352,535
225,10.7748,39.1943,808
226,39.2998,535.6949,567
227,10.5329,46.2915,820
228,8.348,38.2176,1000
229,6.614,26.2492,557
230,14.1815,127.2043,1278
231,6.9219,38.7903,832
232,12.2183,38.2574,197
233,10.6745,43.4084,467
234,8.3382,33.0469,680
235,22.2749,195.3145,724
236,13.1297,96.2633,185
237,15.7525,141.3345,602
238,26.9439,290.464,517
239,11.7854,103.4617,643
240,10.5881,44.68,437
241,16.2947,256.4663,1381
242,11.9903,86.1361,619
243,10.7862,238.7706,1880
244,4.7783,15.2727,212
245,51.7755,454.2347,196
246,8.1328,39.6178,512
247,12.9561,61.374,114
248,8.3059,66.8726,304
249,8.566,43.5321,523
250,21.5116,296.3402,258
251,88.332,1325.366,250
252,7.0603,27.7492,547
253,8.5521,43.4013,844
254,11.2602,89.5427,246
255,5.4221,24.0742,789
256,4.3571,13.3912,350
257,5.7265,17.8842,501
258,8.3236,32.2586,445
259,15.6594,91.0425,138
260,68.2768,908.8414,271
261,10.4663,73.1134,326
262,10.3235,60.125,476
263,7.9526,31.9413,359
264,9.9887,56.1301,531
265,34.8484,699.5378,620
266,11.0531,90.8715,621
267,5.2272,12.9907,383
268,28.601,297.3281,381
269,458.5625,4760.193,112
270,22.0896,286.7088,558
271,4.6476,15.4489,210
272,12.2768,107.4606,271
273,19.7506,228.5751,397
274,11.7816,90.9289,554
275,6.7085,23.593,247
276,7.4924,39.7071,394
277,24.6272,132.7883,169
278,8.0622,89.2859,1464
279,11.873,87.7086,370
280,6.5116,32.8411,86
281,4.5284,20.6483,352
282,9.0633,58.2811,474
283,5.2375,20.8776,240
284,204.7173,3491.4187,329
285,11.2779,98.7567,1414
286,7,32.9238,304
287,15.5781,96.7799,192
288,41.291,546.4694,299
289,36.031,365.039,387
290,8.9284,62.5889,475
291,5.9264,25.1296,326
292,5.4104,16.7005,441
293,6.6877,26.0726,269
294,10.0126,54.3067,159
295,6.7533,26.2463,227
296,8.8619,45.8033,268
297,9.8603,39.256100000000004,229
298,13.8385,61.5156,130
299,3.0636,8.0552,110
300,9.3407,49.5322,543
301,7.0963,22.385,135
