size,mean_output,sd_output,n
1151,1376.7784,0,1
1153,1843.4076,0,1
1154,797.5078,504.184,2
1158,1543.5323,1192.2309,2
1161,1125.2198,855.5892,2
1163,1253.4444,1035.5292,2
1164,2064.0967,2070.1028,2
1165,129.4748,0,1
1167,148.5322,135.0042,2
1168,1982.0656,0,1
1170,1638.9272,787.8871,2
1171,743.3302,0,1
1173,721.2983,783.2189,2
1175,1923.6207,0,1
1176,658.924,676.9848,2
1177,1078.5875,160.2521,2
1179,729.5459,0,1
1182,374.2945,0,1
1183,53.7551,0,1
1185,16.7396,0,1
1186,406.7635,508.9954,2
1190,1918.4476,0,1
1193,1411.8704,1624.9817,2
1195,1917.7029,1603.414,2
1197,1589.1949,503.7923,3
1198,1814.0538,1368.6192,2
1200,777.7732,0,1
1201,338.2426,0,1
1202,123.8494,0,1
1203,400.2434,0,1
1205,111.1936,0,1
1207,2629.8183,1524.4193,2
1208,1938.9629,1645.0035,3
1209,440.8499,0,1
1210,1193.452,0,1
1212,562.3826,299.0769,2
1216,2439.7798,0,1
1221,1178.7345,1131.2254,2
1222,210.0232,0,1
1224,164.3327,0,1
1225,156.7054,0,1
1234,3864.4189,0,1
1237,892.6052,264.4561,2
1239,2358.8599,0,1
1240,249.0522,0,1
1241,2050.7668,0,1
1243,333.1519,328.7914,5
1245,205.4665,67.2744,2
1248,2948.6482,0,1
1250,745.165,663.329,3
1252,222.1395,0,1
1253,1295.9735,0,1
1254,1633.2013,1801.7508,2
1256,877.8968,0,1
1263,1407.7111,589.9935,2
1264,1260.2968,0,1
1265,2125.0522,0,1
1266,835.668,840.5878,2
1268,768.3371,0,1
1270,202.5623,0,1
1271,1261.1591,0,1
1274,783.6157,0,1
1275,3487.7407,0,1
1278,324.9648,0,1
1280,1406.7914,0,1
1281,2167.2959,0,1
1283,370.3814,0,1
1284,1088.4519,0,1
1285,623.7392,26.6244,2
1287,1720.7863,0,1
1290,91.7898,0,1
1294,2020.3218,252.8549,2
1298,2084.8616,1189.9222,2
1299,2023.5111,852.7651,2
1302,580.5087,0,1
1304,2927.1117,409.932,2
1305,1932.8226,1935.7803,2
1306,1382.6237,0,1
1309,843.7082,725.5867,3
1320,749.4469,0,1
1322,1438.6458,0,1
1324,132.918,93.6818,2
1326,2942.1538,0,1
1327,126.178,112.1068,2
1328,2809.9065,0,1
1331,2770.5122,0,1
1332,197.1817,0,1
1333,1664.2234,0,1
1334,2641.8989,818.7543,2
1335,1384.3502,0,1
1337,341.0622,350.5311,2
1339,1052.9716,1030.5108,2
1340,75.6974,0,1
1341,2644.7549,0,1
1343,1096.0564,0,1
1345,674.2783,0,1
1349,1384.1828,1883.7278,2
1351,498.7697,0,1
1355,1576.0637,720.16,3
1356,2185.9006,0,1
1361,1866.6381,0,1
1362,30.1882,0,1
1363,2540.7046,0,1
1366,112.5345,0,1
1367,334.449,0,1
1368,46.1367,0,1
1371,795.6671,0,1
1376,144.2057,0,1
1378,139.8225,0,1
1381,343.2532,0,1
1382,2305.2454,0,1
1383,265.9337,0,1
1384,843.1353,0,1
1387,1762.4045,0,1
1388,579.4447,478.9207,2
1393,3394.0332,0,1
1394,2205.323,0,1
1395,40.4826,0,1
1396,1495.6716,0,1
1398,1735.3232,0,1
1399,54.8139,0,1
1401,3095.4824,0,1
1405,2189.4412,0,1
1408,56.105,0,1
1411,2725.9666,0,1
1414,1641.8806,0,1
1415,1115.0181,0,1
1416,11.42,0,1
1419,3402.3943,0,1
1422,2166.5725,0,1
1423,204.4746,138.163,2
1427,10.6854,0,1
1428,121.3633,0,1
1430,1149.7894,0,1
1433,1850.4926,0,1
1434,1221.3827000000001,0,1
1435,4269.791,0,1
1440,1078.038,579.5409,3
1442,5059.0166,0,1
1443,828.0356,0,1
1444,3092.5938,0,1
1445,2391.9922,1031.5052,4
1447,1612.5946,1945.0081,2
1449,368.1909,0,1
1452,3317.8586,0,1
1456,255.5984,0,1
1457,735.7178,0,1
1460,137.2507,0,1
1461,2416.0833,0,1
1462,5e-4,0,1
1464,2883.1682,0,1
1466,2210.6853,0,1
1469,1655.5231,0,1
1480,3309.1919,0,1
1484,1199.7765,0,1
1486,379.6036,0,1
1488,1959.6135,2164.6207,2
1489,1148.5797,0,1
1490,2314.7112,1744.399,2
1491,282.2004,0,1
1493,4309.5786,0,1
1495,1442.8826,0,1
1500,1080.8355,893.0701,3
1503,1489.0365,1521.6923,3
1505,2558.5295,0,1
1506,700.7374,0,1
1507,727.9628,0,1
1508,2924.3743,0,1
1509,364.763,349.237,2
1512,358.6984,16.6761,2
1514,1166.7466,1547.828,2
1519,1073.2355,600.0134,2
1521,2806.1525,2190.3727,2
1522,760.6527,0,1
1529,3093.6104,0,1
1530,2769.9688,0,1
1533,1543.0206,2132.169,2
1534,573.0459,0,1
1536,2729.3502,598.7549,3
1543,1972.4058,0,1
1548,1118.3931,0,1
1549,2561.459,1170.3586,2
1550,69.3476,34.8714,2
1556,951.1393,0,1
1557,2275.8462,0,1
1559,2787.7764,0,1
1564,1964.8331,0,1
1565,1087.0721,0,1
1572,455.8074,0,1
1576,2326.8017,2023.7507,3
1579,526.1557,63.0889,2
1581,604.0935,0,1
1582,1707.8182,0,1
1583,2237.0776,0,1
1584,5018.5879,0,1
1589,258.5248,0,1
1592,1779.7286,0,1
1594,1413.6844,0,1
1599,228.748,0,1
1605,1335.1394,0,1
1606,4145.3135,0,1
1611,2500.6802,0,1
1613,711.3911,0,1
1618,2328.8796,0,1
1622,4328.1724,0,1
1623,1953.6438,0,1
1624,984.7472,0,1
1625,519.7849,481.9097,2
1627,1074.2251,0,1
1630,771.8193,0,1
1631,102.6539,0,1
1633,101.9246,0,1
1635,2010.3061,1880.4345,2
1638,1918.6366,0,1
1639,3454.271,0,1
1643,347.2587,0,1
1644,2276.3198,0,1
1645,852.0207,0,1
1646,727.4582,0,1
1649,511.7199,0,1
1650,1225.3777,0,1
1652,938.8629,0,1
1653,762.7116,0,1
1654,980.8841,0,1
1660,1002.9167,0,1
1661,60.8736,0,1
1662,3034.1101,0,1
1664,457.5766,0,1
1667,2667.0876,0,1
1673,2828.8647,0,1
1675,409.0067,0,1
1676,2483.754,374.2477,2
1677,2098.5649,1158.3748,2
1678,845.1163,0,1
1680,1235.6351,0,1
1684,6488.7817,0,1
1685,3058.3965,0,1
1689,3295.7026,0,1
1693,937.6029,1205.4902,2
1695,408.0264,0,1
1696,2053.3123,0,1
1697,1179.9335,0,1
1699,1477.6526,1096.0755,2
1703,2193.958,0,1
1704,3502.3367,0,1
1712,1438.1412,0,1
1717,902.5728,0,1
1723,3284.4998,0,1
1724,86.7895,0,1
1725,1596.2577000000001,0,1
1728,1911.7579,528.4661,2
1730,4367.2651,0,1
1732,1913.2352,0,1
1735,4397.1992,0,1
1736,1297.2375,727.4454,2
1737,81.53,0,1
1738,621.7408,0,1
1739,1779.3587,1934.056,2
1740,2505.7961,0,1
1741,3388.4141,0,1
1747,629.0803,889.6215,2
1748,568.8799,0,1
1749,4135.2305,0,1
1760,105.7773,0,1
1762,675.2921,0,1
1763,3149.6978,0,1
1764,2892.3752,0,1
1765,1520.7271,626.702,2
1768,1148.3652,0,1
1769,2774.2924,1827.092,2
1772,2243.6328,0,1
1778,92.5717,0,1
1783,1065.86,0,1
1785,1399.3113,0,1
1786,3822.3264,0,1
1793,2000.889,0,1
1801,2291.9752,902.9292,2
1805,2745.6541,0,1
1810,276.4184,0,1
1812,6325.1919,0,1
1813,462.3021,0,1
1816,663.3548,0,1
1821,1419.9321,0,1
1826,2985.6562,0,1
1828,289.2817,0,1
1834,2423.9053,0,1
1835,2097.9421,0,1
1842,1460.7744,0,1
1844,848.2303,0,1
1849,4513.1279,0,1
1851,1319.7833,0,1
1854,144.3923,195.7099,3
1856,58.4605,0,1
1865,5278.1865,0,1
1870,5107.4785,0,1
1873,818.5228,0,1
1876,1969.5017,0,1
1878,1817.8232,1269.2855,2
1882,1540.1532,1158.3722,2
1883,4023.0044,0,1
1884,1439.0373,1126.4561,3
1886,1579.3405,0,1
1888,1031.7862,1225.2844,2
1891,901.5399,0,1
1899,1162.0298,1019.1151,2
1901,1583.5739,0,1
1902,135.2861,0,1
1907,64.1479,31.458,2
1910,3193.2749,0,1
1913,1526.2501,0,1
1916,668.1277,0,1
1919,3487.4934,0,1
1923,41.55,0,1
1925,593.1291,259.4519,2
1928,142.2934,0,1
1929,4919.0654,0,1
1930,1798.5116,0,1
1934,1018.1534,0,1
1935,4776.627,0,1
1936,1893.9779,0,1
1940,2391.9495,0,1
1946,4572.647,0,1
1951,2698.1174,0,1
1963,1888.2438,0,1
1966,4938.9937,0,1
1972,651.5911,0,1
1979,261.2432,0,1
1985,2058.7943,2449.0154000000002,2
1988,693.533,0,1
1990,718.9662,0,1
1995,2020.7338,0,1
1996,1536.7307,0,1
1998,4179.5728,0,1
2003,2695.1383,883.2664,2
2007,602.8293,0,1
2009,1862.4004,0,1
2013,741.1282,0,1
2018,725.3614,102.9764,2
2019,1537.6427,0,1
2020,1081.5032,0,1
2021,925.7997,0,1
2022,2622.7495,0,1
2026,1385.8695,0,1
2035,98.1976,0,1
2037,1302.2244,0,1
2039,1797.3165,0,1
2043,5004.1812,0,1
2047,2306.8327,2116.6815,2
2048,2112.1328,0,1
2051,2457.8506,0,1
2053,374.4974,0,1
2057,2620.8607,2980.4747,2
2058,2209.6839,1769.7513,2
2059,2852.8987,0,1
2060,3329.481,1342.8943,3
2066,3085.2654000000002,0,1
2077,1513.7966,0,1
2079,2014.4309,1772.9117,2
2083,721.8182,0,1
2084,4212.3755,0,1
2090,4302.3887,0,1
2096,348.0413,0,1
2098,2176.4951,0,1
2099,792.2304,0,1
2100,2206.8186,0,1
2105,6144.4717,0,1
2112,189.84,0,1
2119,666.4803,618.0187,2
2120,437.8418,0,1
2121,297.1456,0,1
2131,738.605,0,1
2140,1186.4045,0,1
2142,922.2255,0,1
2150,4243.1167,0,1
2152,3097.1516,0,1
2154,4545.5679,0,1
2161,3621.8416,0,1
2162,4693.4634,0,1
2167,2033.0919,1617.3077,2
2174,3187.8647,1522.5225,2
2186,2960.687,0,1
2191,1172.4856,0,1
2192,3123.9702,0,1
2193,6195.8667,0,1
2201,1819.2274,0,1
2209,6760.1963,0,1
2211,2438.0476,0,1
2214,1393.0814,0,1
2217,3650.416,0,1
2219,987.3556,0,1
2224,364.6054,0,1
2225,3670.136,0,1
2226,228.9627,0,1
2229,6001.0498,0,1
2233,791.9432,0,1
2243,253.5259,0,1
2244,2250.5481,0,1
2250,985.4143,0,1
2258,2305.4707,0,1
2259,4479.1763,0,1
2264,3983.6672,0,1
2266,2208.6028,0,1
2269,3817.8413,0,1
2271,2168.918,0,1
2281,756.7282,0,1
2289,1298.9182,0,1
2298,1896.8442,0,1
2301,3621.5381,0,1
2303,1906.1576,0,1
2304,202.2766,0,1
2311,1485.6976,0,1
2322,5322.2871,0,1
2323,2015.0878,0,1
2333,1132.7831,0,1
2335,625.337,0,1
2337,899.1368,0,1
2339,5102.6958,0,1
2349,1280.6362,0,1
2350,1628.8318,0,1
2351,659.3289,0,1
2354,2144.2083,0,1
2355,5053.5054,0,1
2358,4180.5967,0,1
2364,4699.1274,0,1
2371,406.0699,0,1
2383,152.3151,0,1
2388,2598.6047,0,1
2392,569.2097,0,1
2399,3038.3245,0,1
2400,136.1639,0,1
2416,3351.3381,0,1
2423,724.7883,0,1
2424,1895.017,0,1
2425,1969.6877,0,1
2429,98.85,0,1
2431,2376.1504,0,1
2433,702.1431,0,1
2434,453.6837,367.5727,2
2439,308.1355,0,1
2455,2038.1332,0,1
2474,7213.1479,0,1
2482,4376.6094,0,1
2484,6279.0283,0,1
2485,893.008,0,1
2488,2727.6687,0,1
2498,5789.1387,0,1
2500,3683.5244,0,1
2510,943.7224,0,1
2511,117.777,0,1
2512,295.7869,0,1
2513,3709.1865,0,1
2519,851.2292,458.4809,2
2520,5513.3359,0,1
2522,2571.489,0,1
2530,645.8821,0,1
2534,307.3593,0,1
2539,958.9326,169.1081,2
2542,1821.1951,0,1
2546,2286.7805,0,1
2547,3510.9878,0,1
2548,3525.2104,0,1
2552,1670.338,0,1
2560,1850.2306,0,1
2562,509.0303,0,1
2573,1581.0052,0,1
2576,3706.5316,3138.8639,2
2577,1066.9946,0,1
2583,2695.4653,0,1
2584,702.3981,0,1
2603,1497.9963,0,1
2606,817.32,0,1
2614,2454.1089,0,1
2621,3782.3081,0,1
2622,4065.3003,0,1
2629,1435.4095,0,1
2631,395.1868,0,1
2632,1935.5305,0,1
2640,2424.3782,0,1
2642,5425.377,0,1
2651,2416.7666,0,1
2652,2689.5142,0,1
2659,6376.6885,0,1
2662,2021.7042,0,1
2663,128.1949,0,1
2665,2229.3091,0,1
2679,1069.6731,0,1
2683,4211.1714,0,1
2686,2465.9749,0,1
2692,5050.1714,0,1
2702,1412.1991,429.8,2
2707,1297.6642,0,1
2708,2376.7419,0,1
2709,7815.5596,0,1
2721,518.265,0,1
2743,7469.3779,0,1
2744,2213.0676,0,1
2747,4007.0708,0,1
2755,208.7638,0,1
2770,9753.5742,0,1
2771,1307.3022,0,1
2774,796.2483,0,1
2781,7828.4468,0,1
2786,293.6432,0,1
2790,701.9128,0,1
2793,1474.3943,1031.977,2
2794,4147.4448,0,1
2796,2400.1204,0,1
2803,4006.7205,0,1
2814,9266.3281,0,1
2824,2669.1858,0,1
2827,6226.1582,0,1
2829,4980.0835,0,1
2831,3911.6338,0,1
2832,3188.9158,0,1
2845,1910.3317,0,1
2846,3055.2288,0,1
2848,3448.575,0,1
2866,5127.6431,0,1
2879,4023.1838,0,1
2881,294.5157,0,1
2900,440.1464,0,1
2905,385.2765,0,1
2912,8422.7188,0,1
2918,8738.2891,0,1
2924,1298.5215,0,1
2934,2106.8186,0,1
2942,1494.4486,199.3068,2
2952,2771.8816,0,1
2955,4968.6685,0,1
2971,919.1692,0,1
2977,6181.3066,0,1
2986,1946.0859,0,1
2988,480.1212,0,1
2992,5657.2314,0,1
2994,6684.1309,0,1
2998,2730.0493,0,1
3023,1898.8687,0,1
3038,460.5538,0,1
3048,6055.1646,0,1
3050,4516.5825,0,1
3052,3306.6833,0,1
3053,787.8855,0,1
3061,247.847,0,1
3064,74.1731,0,1
3074,2919.6851,0,1
3079,9697.3115,0,1
3110,4432.6753,0,1
3114,2198.1274,0,1
3125,2112.4517,0,1
3135,965.9783,0,1
3137,3764.0481,0,1
3150,4573.7974,0,1
3153,1493.3484,0,1
3174,185.7619,0,1
3177,1045.1505,0,1
3183,1858.2162,0,1
3187,3427.676,0,1
3191,3260.6836,0,1
3206,3143.0261,0,1
3213,2960.322,0,1
3226,140.5727,0,1
3238,901.9564,0,1
3240,2958.4287,0,1
3241,5535.7202,0,1
3242,8309.4561,0,1
3244,7903.2686,0,1
3245,1418.5431,0,1
3246,5909.5176,0,1
3266,5816.3506,0,1
3281,3995.5461,0,1
3293,4447.0684,0,1
3297,3021.2135,195.5261,2
3306,458.1734,0,1
3312,1584.6473,0,1
3314,6497.4429,0,1
3323,929.339,0,1
3326,2045.0802,0,1
3331,197.3107,0,1
3337,1350.4633,0,1
3352,1487.8971,0,1
3367,994.9856,0,1
3369,317.0319,0,1
3373,459.8581,0,1
3404,3394.4358,0,1
3409,6674.1719,0,1
3411,553.3411,0,1
3417,1808.358,0,1
3426,4809.208,0,1
3429,10115.4912,0,1
3438,7431.54,0,1
3445,4915.7139,0,1
3450,1062.3456,0,1
3455,1862.5709,0,1
3468,3373.3092,474.5693,2
3496,1382.7537,0,1
3497,876.5802,0,1
3500,1619.1713,0,1
3503,4652.5796,0,1
3505,1440.9723,0,1
3516,1893.6288,0,1
3520,7665.7578,0,1
3529,5795.5537,0,1
3537,2254.4985,0,1
3542,5371.9858,0,1
3544,3350.9946,0,1
3549,12147.374,0,1
3564,6393.5977,0,1
3570,3633.2063,2949.0583,2
3583,1273.135,0,1
3608,4460.1548,0,1
3610,7041.3506,0,1
3635,4419.7554,0,1
3637,1108.9641,0,1
3654,2872.9272,0,1
3657,629.3531,0,1
3667,5641.2275,0,1
3682,2925.6853,0,1
3683,164.9082,0,1
3684,7969.2256,0,1
3685,2553.0437,0,1
3687,3069.79,0,1
3706,8587.5283,0,1
3710,6474.0537,0,1
3722,2556.3352,398.7689,2
3728,3300.1272,0,1
3736,1740.2919,0,1
3758,1196.4576,0,1
3761,6398.4233,0,1
3776,9550.1387,0,1
3804,2055.7505,0,1
3811,9612.6797,0,1
3812,6860.5176,0,1
3831,2262.7532,0,1
3836,1048.9822,0,1
3857,2977.0007,0,1
3859,5964.4634,0,1
3865,7927.9116,0,1
3870,5200.5244,0,1
3888,1927.4047,0,1
3893,291.4826,0,1
3898,9138.2227,0,1
3901,1718.9497,0,1
3905,3171.8538,0,1
3921,909.4838,0,1
3943,10527.3027,0,1
3949,1484.8594,0,1
3993,717.6915,0,1
4005,130.3747,0,1
4021,730.3131,0,1
4022,558.4257,0,1
4024,693.5284,0,1
4025,2448.1714,0,1
4036,8287.9189,0,1
4041,6605.7976,2803.0144,2
4049,1496.6353,0,1
4073,5979.9058000000005,0,1
4115,9943.4287,0,1
4122,8605.1523,0,1
4146,5726.3779,0,1
4161,6986.9888,0,1
4218,12097.8457,0,1
4223,2915.7637,0,1
4243,64.6497,0,1
4258,1559.7896,0,1
4259,2086.6211,0,1
4272,5421.9453,0,1
4295,9726.6865,0,1
4301,7318.481,0,1
4311,10726.8779,0,1
4313,8997.6211,0,1
4318,4102.9956,0,1
4329,837.308,0,1
4347,5704.7676,0,1
4348,10893.3896,0,1
4358,5172.4862,4837.4726,2
4384,1878.9622,0,1
4399,3606.3914,0,1
4428,1065.2361,0,1
4434,3631.0964,0,1
4443,3258.0552,0,1
4447,2481.7019,0,1
4459,2329.1484,0,1
4479,2338.6392,0,1
4503,919.4805,0,1
4516,4354.4595,0,1
4534,12683.501,0,1
4552,157.6375,0,1
4573,6221.8198,0,1
4605,1098.0538,0,1
4620,1096.749,0,1
4629,11632.7725,0,1
4664,4569.6938,0,1
4686,6718.9634,0,1
4691,1066.7458,0,1
4762,3306.2964,3974.1133,2
4793,8301.3008,0,1
4835,1072.2301,0,1
4840,4463.0117,0,1
4854,3854.1809,0,1
4859,13213.6426,0,1
4891,1482.1428,0,1
4903,6172.2715,0,1
4926,1568.3086,0,1
4952,3276.6938,0,1
4959,4079.3589,0,1
4972,270.2047,0,1
4981,3789.9702,0,1
5012,8546.9541,0,1
5015,2805.4421,0,1
5020,9327.0039,0,1
5036,11333.5078,0,1
5042,211.0264,0,1
5048,6732.894,0,1
5082,2050.5393,0,1
5086,4800.7856,0,1
5091,2819.1348,0,1
5108,2943.8601,0,1
5118,1106.6324,0,1
5143,948.2109,0,1
5190,15116.1943,0,1
5205,11316.3457,0,1
5246,5723.0601,0,1
5353,2777.4814,0,1
5355,315.8909,0,1
5366,1487.1903,0,1
5390,5251.9292,0,1
5401,4735.1787,0,1
5431,1765.0583,0,1
5441,326.8135,0,1
5458,2328.3606,0,1
5473,3976.3008,0,1
5691,4643.5132,0,1
5715,3913.7949,0,1
5724,5260.4458,0,1
5728,11045.208,0,1
5758,6926.1025,0,1
5789,6360.2676,0,1
5817,10321.5859,0,1
5898,8649.5557,0,1
5906,11001.6553,0,1
5907,2610.8804,0,1
5915,14133.4443,0,1
5930,2436.1326,0,1
5950,10199.4229,0,1
5951,13044.377,0,1
5968,246.2258,0,1
5982,7052.3975,0,1
5995,2399.0227,0,1
6035,4644.2432,0,1
6073,2929.5371,0,1
6099,3443.1318,0,1
6152,2400.2039,0,1
6175,1922.5798,0,1
6176,13148.4854,0,1
6209,9455.8574,0,1
6297,2476.3455,0,1
6316,15507.1006,0,1
6323,588.7244,0,1
6331,2330.7322,0,1
6362,2571.6018,0,1
6388,13011.9062,0,1
6428,8717.9404,0,1
6518,22379.7344,0,1
6554,4553.0176,0,1
6609,371.9914,0,1
6632,15185.9854,0,1
6641,4264.5811,0,1
6681,1969.7156,0,1
6690,1525.6714,0,1
6767,2278.4324,0,1
6785,1799.5641,0,1
6795,13061.3604,0,1
6806,1598.974,0,1
6813,955.5918,0,1
6864,550.3318,0,1
6909,17206.4414,0,1
6919,6372.7324,0,1
6934,12141.8438,0,1
7001,2970.176,0,1
7006,11777.8184,0,1
7039,4187.1001,0,1
7082,5545.9419,0,1
7086,15146.875,0,1
7126,2427.907,0,1
7146,3343.9463,0,1
7155,4857.9507,0,1
7252,11464.4014,0,1
7360,3390.7886,0,1
7388,2363.4336,0,1
7393,1101.5242,0,1
7445,5849.3115,0,1
7516,2387.9739,0,1
7553,10554.5283,0,1
7733,2276.3081,0,1
7760,6183.814,0,1
7808,2867.8352,0,1
7823,12596.6602,0,1
7908,5378.3701,0,1
7926,10999.6416,0,1
7962,7222.0488,0,1
8020,18947.3633,0,1
8030,9501.7783,0,1
8192,6378.126,0,1
8435,2077.3203,0,1
8440,2914.3101,0,1
8667,9633.1104,0,1
8892,19583.168,0,1
8975,3070.3513,0,1
9133,7652.3193,0,1
9142,2531.7888,0,1
9191,6652.9663,0,1
9283,5266.501,0,1
9306,4780.2197,0,1
9364,3459.6631,0,1
9425,96.9973,0,1
9480,12241.9404,0,1
9527,8592.7734,0,1
9579,5787.4814,0,1
9666,4472.1274,0,1
9686,8816.9893,0,1
9975,5767.8164,0,1
10142,20185.0469,0,1
10149,17755.0859,0,1
10164,13158.4141,0,1
10354,5820.9458,0,1
10604,431.9444,0,1
10656,14515.9756,0,1
10728,12977.0586,0,1
10752,8944.8008,0,1
10757,29594.9746,0,1
10798,23221.0352,0,1
10911,18690.291,0,1
10938,357.4058,0,1
11047,7066.5542,0,1
11173,8368.4199,0,1
11375,8269.5205,0,1
11482,23221.3125,0,1
11811,629.061,0,1
11859,28642.4062,0,1
11972,5274.626,0,1
12244,6045.0352,0,1
12266,12632.6602,0,1
12458,7533.979,0,1
13087,14680.2246,0,1
13399,21384.5938,0,1
13412,16937.9199,0,1
13573,10176.9502,0,1
13629,5633.1035,0,1
13642,25337.9531,0,1
13748,37806.6211,0,1
13749,7193.7241,0,1
14589,3445.3545,0,1
14648,4118.2261,0,1
14911,7697.8545,0,1
14949,29240.5605,0,1
15095,25511.4434,0,1
15268,7386.957,0,1
16531,29562.6914,0,1
16585,5495.7065,0,1
16781,7494.1421,0,1
17365,3402.1406,0,1
17970,12658.4336,0,1
17989,51252.8984,0,1
18024,16375.8164,0,1
18118,9165.5342,0,1
18270,3730.0491,0,1
19081,21773.4414,0,1
19250,37465.8789,0,1
19548,31024.7441,0,1
19836,21655.3613,0,1
20343,34825.3398,0,1
20908,18224.1172,0,1
20960,6198.9902,0,1
20987,14686.3936,0,1
21129,7056.0547,0,1
21268,22037.6211,0,1
21850,28397.0469,0,1
22138,49874.0586,0,1
23566,1261.718,0,1
24360,8154.5879,0,1
24608,7127.0542,0,1
26647,14845.0986,0,1
27576,18174.0332,0,1
27639,8212.1729,0,1
30932,23182.6289,0,1
34594,12193.0576,0,1
36930,8691.625,0,1
39663,35397.0938,0,1
39916,7917.4277,0,1
39983,113052.2656,0,1
40955,23943.5957,0,1
42100,21526.0801,0,1
43687,25196.3711,0,1
50382,3363.5647,0,1
52493,38924.5977,0,1
58729,61356.582,0,1
60194,26700.5566,0,1
63314,7993.5181,0,1
73338,109537.1328,0,1
75627,53926.0547,0,1
77358,25217.9922,0,1
78710,30876.2051,0,1
85721,109784.8125,0,1
86007,98821.6797,0,1
90958,14863.085,0,1
134742,88511.0938,0,1
136021,294069.6562,0,1
152843,73852.2344,0,1
