size,mean_output,sd_output,n
230,253.1098,219.0374,17
231,127.097,129.3668,14
232,200.0898,167.2137,26
233,230.7448,181.9646,21
234,273.9442,203.7781,24
235,259.6692,243.3698,17
236,183.4583,164.071,26
237,247.0245,168.6938,17
238,211.3621,221.1748,18
239,333.7209,197.0432,6
240,195.4419,184.5499,21
241,257.3917,199.7555,26
242,240.2466,189.18,16
243,224.7851,230.8159,21
244,236.9923,193.1891,21
245,293.4281,338.9458,14
246,174.8058,168.8638,6
247,293.7044,270.6857,23
248,225.2509,243.3083,13
249,265.216,297.152,20
250,223.2276,176.4094,24
251,194.1874,176.3356,19
252,263.8568,253.475,21
253,247.9658,163.9068,12
254,211.1754,199.0248,15
255,287.8665,207.721,11
256,214.4424,260.6686,12
257,213.1638,191.3789,13
258,269.6519,228.0452,11
259,328.4177,240.1978,14
260,232.7319,195.7218,17
261,155.4667,120.4005,9
262,242.9445,203.6664,16
263,316.2078,184.3284,21
264,280.0117,215.2479,18
265,276.7702,266.6228,13
266,187.8933,194.6979,16
267,279.28,289.9828,13
268,273.7753,322.7015,9
269,297.2383,245.8652,20
270,205.6744,203.0857,15
271,242.9894,157.9649,12
272,266.6893,267.9865,17
273,395.5669,240.0184,7
274,252.4694,210.1909,15
275,155.536,133.8039,17
276,184.6193,148.6474,16
277,267.9824,273.1481,23
278,306.1643,345.9859,15
279,295.1785,241.8467,19
280,351.6916,340.5729,13
281,264.4467,223.6007,9
282,320.2831,268.5325,18
283,235.5825,222.4005,14
284,373.1755,290.0583,18
285,337.6349,215.6037,9
286,136.1615,128.1114,7
287,305.084,285.2248,11
288,344.5641,372.9886,8
289,317.5651,227.5061,15
290,364.0786,269.78,18
291,308.2051,242.2795,9
292,220.4611,160.1195,14
293,269.2517,236.3543,14
294,322.2266,299.1862,15
295,345.4689,258.977,19
296,323.8066,229.6112,12
297,208.5743,178.3623,9
298,320.6914,284.5982,11
299,317.4224,229.9301,9
300,307.3064,255.2216,16
301,351.6739,393.8183,12
302,363.2096,346.1409,9
303,341.782,248.0772,10
304,201.3812,175.7881,15
305,370.647,324.0611,12
306,200.2735,153.1227,10
307,201.616,206.4713,7
308,207.709,196.0945,15
309,242.7116,211.7603,9
310,296.4933,210.9585,9
311,233.5456,225.3949,8
312,288.7109,238.7506,12
