size,mean_age,sd_age,n
231,140.0714,77.2334,14
232,140.6923,86.8948,26
233,108.2857,66.0887,21
234,106.25,56.909,24
235,118.8235,65.7288,17
236,133.6538,86.2559,26
237,87,78.1337,17
238,117.9444,79.4062,18
239,132.5,57.4308,6
240,149.8571,93.4346,21
241,152.9231,108.8191,26
242,98,38.917,16
243,129.1429,109.1807,21
244,128.8095,81.2358,21
245,120.2857,65.781,14
246,147.8333,111.2626,6
247,126.5652,61.6219,23
248,117,62.6046,13
249,105.15,50.9595,20
250,117.5417,91.1086,24
251,113.7368,51.1825,19
252,135.7143,73.0952,21
253,109.1667,84.8323,12
254,149.6,79.4299,15
255,98.7273,34.0767,11
256,110.25,46.7257,12
257,99.4615,65.4671,13
258,138.7273,100.2737,11
259,119.2857,81.6384,14
260,103.2353,47.9408,17
261,117.4444,68.3705,9
262,127.75,43.7729,16
263,112.5714,91.2275,21
264,125.5,73.4505,18
265,117.0769,66.4122,13
266,139.25,88.5155,16
267,145.3077,121.4828,13
268,112.3333,58.5427,9
269,139.1,96.2764,20
270,144.0667,103.5812,15
271,123.75,92.0969,12
272,144.8235,110.108,17
273,98,41.3521,7
274,159.8667,77.8972,15
275,111.9412,49.3894,17
276,103.375,33.6747,16
277,107.4348,64.0134,23
278,104.6667,55.2923,15
279,141.1053,63.2929,19
280,105.3846,62.08,13
281,131.8889,126.6002,9
282,144.4444,87.9145,18
283,116.0714,55.9883,14
284,100.5556,79.8574,18
285,106.8889,49.7706,9
286,123.7143,23.8308,7
287,143.0909,83.7227,11
288,117.375,62.3903,8
289,90.2667,33.7987,15
290,139.5556,114.3139,18
291,133,77.7367,9
292,141.4286,62.3584,14
293,110.9286,57.8319,14
294,137.4667,80.1453,15
295,79.7895,34.25,19
296,125.4167,136.9814,12
297,141,72.7856,9
298,115.9091,48.4468,11
299,127.7778,93.3338,9
300,126.75,65.2651,16
301,151.6667,98.3928,12
302,115.5556,74.9869,9
303,102.1,35.6166,10
304,124.4667,46.3294,15
305,122.6667,63.2863,12
306,125.3,64.2807,10
307,144,78.1558,7
308,140.8,96.8926,15
309,92.1111,25.0372,9
310,112.3333,42.7522,9
311,110,43.6414,8
312,181,105.7794,12
313,164.1429,65.9126,7
314,112.5,71.2142,16
315,101.8182,51.1602,11
316,139.3636,112.0467,11
317,135,67.082,12
318,131.1875,93.6413,16
319,151.6923,134.7067,13
320,162.4615,99.7418,13
321,129.4,82.3276,15
322,86.875,27.1895,8
323,186.8182,118.7298,11
324,78.8889,36.7473,9
325,106.625,96.8282,8
326,101.6667,47.2123,9
327,106,49.732,12
328,149.3636,80.5435,11
329,133.4444,119.6632,9
330,145.6364,93.0863,11
331,121.6667,50.309,9
332,157.25,58.243,4
333,151.4286,73.3277,7
334,119.3,81.7803,10
335,145.6667,88.0829,12
336,131.625,85.45,8
337,103.7143,29.0672,7
338,86.1429,17.9298,7
339,146.5714,124.5323,7
340,92.1429,46.3013,7
341,146.3,108.6248,10
342,104.4286,81.9611,7
343,154.5,55.9429,10
344,116,74.453,9
345,201.2857,253.5591,7
346,132.5,109.6016,2
347,109.1,45.7589,10
348,164.75,101.2575,8
349,144.5556,92.3121,9
350,145.6667,134.8496,12
351,86.4,42.1827,10
352,92,49.5109,7
353,135.8333,84.4757,12
354,108,44.2574,15
355,72.5,14.4799,4
356,105.125,57.5535,8
357,160.6,66.1536,5
358,119.8333,52.8712,6
359,112.2222,33.9661,9
360,102.25,28.2274,8
361,100,65.2814,7
362,133.8,80.2228,5
363,111.9,60.3001,10
364,141.5,82.7627,4
365,120.1667,57.0663,6
366,100.8333,26.9641,12
367,95.6,63.0103,5
368,140.0714,63.7621,14
369,108.8333,63.2166,12
370,117.8571,62.6988,7
371,209,99.5515,9
372,245.7143,149.9475,7
373,128.3333,70.8524,12
374,118.2727,104.7073,11
375,117.9286,43.5245,14
376,109.2727,72.3438,11
377,115.7778,54.8584,9
378,108.0667,72.3192,15
379,78.6364,32.7606,11
380,115.8889,42.0994,9
381,160.6667,48.8501,3
382,135,106.4669,6
383,108.4286,51.4842,7
384,148.8,58.1997,5
385,178.25,118.3056,8
386,102,24.0208,5
387,147.8571,57.258,7
388,121,52.1728,4
389,113.25,10.9659,4
390,121.375,67.3985,8
391,118.6,69.3311,5
392,127.2727,64.0345,11
393,108.7,41.8012,10
394,133,93.699,9
395,88,43.5775,3
396,124.8571,59.4991,7
397,119.8571,38.6153,7
398,122.25,61.1521,4
399,120,58.8931,6
400,154.375,102.3522,8
401,88.8333,35.7571,6
402,64.5,36.8194,4
403,104,49.4571,5
404,142.3333,70.316,3
405,132,54.2679,5
406,122.3333,63.5164,3
407,126.6667,54.0771,3
408,147.2,55.3417,5
409,204,170.1313,4
410,150.4,56.5889,5
411,151.5,89.4967,4
412,162.9091,123.0069,11
413,141.6,76.8655,5
414,122.75,51.4676,4
415,124,65.437,5
416,289,335.5011,3
417,92.625,44.0517,8
418,156,128.6157,4
419,122.4,56.6639,5
420,156.5556,116.309,9
421,86.8333,26.5286,6
422,129.8571,90.492,7
423,72.2,22.939,5
424,120.2857,63.8454,7
425,102.75,9.4648,4
426,137.6667,23.1157,3
427,243.5,185.9346,4
428,132.4,99.7938,5
429,123.4,47.7032,10
430,158.5,97.2434,8
431,183.8571,143.9739,7
432,158.125,168.2417,8
433,156.2857,90.7647,7
434,110.7778,73.644,9
435,162,174.0919,4
436,100.25,74.6698,4
437,241.4,152.1226,5
438,82.8,33.3047,5
439,89.6,41.8187,5
440,132.8571,91.5686,7
441,117,61.441,9
442,130.2857,61.1357,7
443,143.5,109.6251,4
444,109.7143,41.0435,7
445,118.8571,70.8224,7
446,112.7143,45.8865,7
447,102.6667,18.619,6
448,111,39.8832,4
449,121.1667,42.9903,6
450,134,73.6206,8
451,105.2,46.9702,5
452,111.5,71.2858,4
453,99.75,37.7501,8
454,112.4,38.9718,5
455,131.4,75.8241,5
456,131.6667,66.3049,3
457,85.5,42.7727,6
458,86,40.7063,3
459,160.875,179.7065,8
460,129.4,85.6931,5
461,193.3333,97.936,6
462,95.3333,42.9961,6
463,157.5,36.7378,4
464,148.875,118.2086,8
465,164.5,160.4291,6
466,88,18.3848,2
467,145.5,116.9816,6
468,72.6,20.1941,5
469,169.7143,182.6022,7
470,134,74.3572,3
471,130,70.6612,3
472,129,60.6754,5
473,107.6,40.2157,5
474,112.6,25.7449,5
475,91.6667,41.6333,3
476,144,88.3365,7
477,103.25,18.2094,4
478,148,63.6946,3
479,175.3333,88.1211,3
480,85.5,7.7782,2
481,148,100.6214,4
482,243.5,279.3072,2
483,152,92.0652,3
484,141.2857,41.1854,7
485,79,0,1
486,67.3333,10.7858,3
487,203.6667,120.8153,3
488,85.6667,19.6554,3
489,171,130.1076,2
490,243,161.2979,3
491,173.1429,133.1308,7
492,100,50.0799,4
493,66,26.2298,3
494,68,21.2132,2
495,80.6667,20.232,3
496,109.3333,48.6038,3
497,194.8,176.6613,5
498,133.25,143.0207,4
499,129,61.8601,4
500,90.75,34.2089,4
501,145.3333,28.746,3
502,79,51.0979,3
503,213.25,70.4811,4
504,82.4,21.9727,5
505,130.25,70.4858,4
506,132,61.713,5
507,111.5,2.1213,2
508,170,0,1
509,163.5,36.0624,2
510,169.6667,101.5201,3
511,187,123.1097,3
512,215,187.1577,3
513,119.75,23.0705,4
514,117.75,51.3314,4
515,80,14.7648,4
516,120.3333,21.4554,3
517,93,40.2865,5
518,75.6,14.8088,5
519,192.25,168.0338,8
520,110.3333,51.6437,6
521,140.4,65.0945,5
522,217,104.2881,3
523,81.6,31.021,5
524,158,0,1
525,120,0,1
526,127.5,7.7782,2
527,169,118.9762,4
528,140.125,85.1208,8
529,113,0,1
530,119.3333,28.1839,3
531,117.6,90.4367,5
532,95.5,27.5772,2
533,145.5,56.5004,6
534,214,0,1
535,113,0,1
536,101.75,53.1876,4
537,143,7.0711,2
538,91.2,35.6679,5
539,99,80.6102,2
540,130.25,36.3261,4
541,113.6667,43.1895,3
542,232.5,134.7924,4
543,96.6667,58.3975,6
544,54,0,1
545,107.75,46.2124,4
547,120.3333,5.0332,3
548,82,12.7279,2
549,90,22.1961,4
550,86,32.3213,4
551,93,24.5153,3
552,149.4286,73.0613,7
553,98.5,6.364,2
554,170,72.1064,4
555,169,60.8112,2
556,158.25,102.8088,8
557,111.5,49.5749,4
558,260,72.1249,2
559,169,0,1
560,151.6667,97.7258,3
561,117.3333,50.6392,3
562,129.5714,72.2216,7
563,104.5,45.17,4
564,135.8,12.3167,5
565,181,0,1
566,117.5,10.6066,2
567,115,26.8701,2
568,109.75,48.5275,4
569,249,0,1
570,118.5,27.5983,4
571,67,22.4054,5
572,90,28.284300000000002,2
573,125,0,1
574,116,97.0155,3
575,115,38.1576,3
576,176.5,51.5267,4
577,106,65.6239,5
578,192,84.373,6
580,191,0,1
581,116.5,57.1551,6
582,113.8,27.3807,5
583,121,34.7707,3
584,99,0,1
585,171.3333,51.6366,3
586,73,32.5269,2
588,138,0,1
589,226.5,53.033,2
590,94,0,1
591,91.5,40.3051,2
592,119.4286,76.8914,7
593,137.5,55.0485,4
594,178.6,93.7379,5
595,172.4,77.655,5
596,126.5,78.4889,2
597,124,15.5563,2
598,97,15.5563,2
599,94.5,21.9203,2
600,110.5,35.4782,6
601,78,13.8564,3
602,155.6667,110.8167,3
603,85.3333,24.9867,3
604,90.6667,11.0151,3
605,140.8889,81.6355,9
606,89.6,26.8384,5
607,81.75,34.1894,4
608,154,141.2038,5
609,95,7.0711,2
610,151.5,50.2046,2
611,146,91.9239,2
612,172,0,1
613,87.75,38.7933,4
614,134.6667,26.3881,3
615,124,0,1
616,126.5,2.1213,2
617,121.25,45.2134,4
618,92.4,15.5016,5
619,87.5,41.7193,2
620,85,36.7696,2
621,192,147.9257,4
623,138,0,1
624,154.1667,78.4561,6
625,61.6667,13.2791,3
626,135,83.9047,5
627,140.6667,30.4149,6
628,67,2.8284,2
629,95,26.6271,3
630,134.6667,71.4726,3
631,174.75,75.0039,4
633,147.6667,69.0821,3
634,102,17.6446,4
635,103.6667,17.5024,3
636,133.3333,79.9771,3
637,126,41.0122,2
638,264,251.73,2
639,96,27.7128,3
640,101.1667,28.5476,6
641,50,0,1
642,220.25,111.4252,4
643,98,27.2397,4
644,57,11.3137,2
645,164.5,159.099,2
646,113.5,91.3765,4
647,100.5,21.9203,2
648,94,9.8995,2
649,203,137.1787,2
650,246,0,1
651,275,302.6417,2
652,72.5,43.1335,2
653,167.4,138.7094,5
654,431,52.3259,2
657,171.4,123.9548,5
659,144.3333,88.5965,3
660,91,52.9481,5
661,92,36.1386,5
662,80.3333,24.7857,3
