size,mean_age,sd_age,n
1444,79,0,1
1445,115,57.9137,4
1447,250.5,48.7904,2
1449,103,0,1
1452,133,0,1
1456,130,0,1
1457,116,0,1
1460,150,0,1
1461,70,0,1
1462,243,0,1
1464,52,0,1
1466,59,0,1
1469,114,0,1
1480,49,0,1
1484,90,0,1
1486,103,0,1
1488,147.5,57.2756,2
1489,76,0,1
1490,96,4.2426,2
1491,106,0,1
1493,54,0,1
1495,68,0,1
1500,98.3333,26.3122,3
1503,116,57.2364,3
1505,73,0,1
1506,134,0,1
1507,146,0,1
1508,57,0,1
1509,106,8.4853,2
1512,131,45.2548,2
1514,114.5,62.9325,2
1519,116.5,2.1213,2
1521,103,25.4558,2
1522,97,0,1
1529,279,0,1
1530,38,0,1
1533,109,38.1838,2
1534,115,0,1
1536,126.3333,18.61,3
1543,73,0,1
1548,185,0,1
1549,122.5,84.1457,2
1550,319.5,222.7386,2
1556,79,0,1
1557,86,0,1
1559,139,0,1
1564,89,0,1
1565,103,0,1
1572,126,0,1
1576,129.3333,11.9304,3
1579,136,52.3259,2
1581,186,0,1
1582,99,0,1
1583,135,0,1
1584,59,0,1
1589,125,0,1
1592,138,0,1
1594,125,0,1
1599,162,0,1
1605,128,0,1
1606,126,0,1
1611,79,0,1
1613,238,0,1
1618,122,0,1
1622,366,0,1
1623,284,0,1
1624,92,0,1
1625,122.5,33.234,2
1627,101,0,1
1630,158,0,1
1631,363,0,1
1633,453,0,1
1635,113,32.5269,2
1638,101,0,1
1639,68,0,1
1643,124,0,1
1644,91,0,1
1645,118,0,1
1646,113,0,1
1649,93,0,1
1650,124,0,1
1652,115,0,1
1653,71,0,1
1654,106,0,1
1660,67,0,1
1661,230,0,1
1662,64,0,1
1664,215,0,1
1667,72,0,1
1673,107,0,1
1675,124,0,1
1676,67.5,19.0919,2
1677,98.5,50.2046,2
1678,97,0,1
1680,71,0,1
1684,74,0,1
1685,63,0,1
1689,70,0,1
1693,314,213.5462,2
1695,235,0,1
1696,115,0,1
1697,132,0,1
1699,128,52.3259,2
1703,536,0,1
1704,76,0,1
1712,431,0,1
1717,113,0,1
1723,103,0,1
1724,272,0,1
1725,89,0,1
1728,89.5,26.163,2
1730,81,0,1
1732,70,0,1
1735,113,0,1
1736,86,11.3137,2
1737,205,0,1
1738,96,0,1
1739,122,11.3137,2
1740,200,0,1
1741,67,0,1
1747,169.5,102.5305,2
1748,373,0,1
1749,400,0,1
1760,161,0,1
1762,97,0,1
1763,89,0,1
1764,69,0,1
1765,93,38.1838,2
1768,134,0,1
1769,97,28.284300000000002,2
1772,61,0,1
1778,176,0,1
1783,159,0,1
1785,90,0,1
1786,81,0,1
1793,65,0,1
1801,138,73.5391,2
1805,113,0,1
1810,108,0,1
1812,83,0,1
1813,123,0,1
1816,132,0,1
1821,96,0,1
1826,75,0,1
1828,385,0,1
1834,74,0,1
1835,448,0,1
1842,59,0,1
1844,137,0,1
1849,73,0,1
1851,226,0,1
1854,211.6667,57.0117,3
1856,176,0,1
1865,46,0,1
1870,65,0,1
1873,101,0,1
1876,132,0,1
1878,125,15.5563,2
1882,81,35.3553,2
1883,62,0,1
1884,97.6667,28.3078,3
1886,75,0,1
1888,110,73.5391,2
1891,85,0,1
1899,84.5,20.5061,2
1901,139,0,1
1902,156,0,1
1907,171.5,21.9203,2
1910,73,0,1
1913,126,0,1
1916,121,0,1
1919,101,0,1
1923,209,0,1
1925,262,230.5168,2
1928,154,0,1
1929,133,0,1
1930,115,0,1
1934,80,0,1
1935,63,0,1
1936,304,0,1
1940,144,0,1
1946,51,0,1
1951,103,0,1
1963,118,0,1
1966,158,0,1
1972,106,0,1
1979,344,0,1
1985,137.5,23.3345,2
1988,157,0,1
1990,83,0,1
1995,103,0,1
1996,152,0,1
1998,102,0,1
2003,90.5,60.1041,2
2007,114,0,1
2009,72,0,1
2013,95,0,1
2018,143.5,38.8909,2
2019,106,0,1
2020,266,0,1
2021,97,0,1
2022,91,0,1
2026,128,0,1
2035,207,0,1
2037,113,0,1
2039,770,0,1
2043,91,0,1
2047,96,55.1543,2
2048,88,0,1
2051,81,0,1
2053,131,0,1
2057,104,21.2132,2
2058,177,142.8356,2
2059,111,0,1
2060,82.6667,3.7859,3
2066,245,0,1
2077,223,0,1
2079,109,16.9706,2
2083,411,0,1
2084,194,0,1
2090,54,0,1
2096,194,0,1
2098,88,0,1
2099,110,0,1
2100,334,0,1
2105,86,0,1
2112,130,0,1
2119,112.5,26.163,2
2120,135,0,1
2121,147,0,1
2131,172,0,1
2140,192,0,1
2142,285,0,1
2150,77,0,1
2152,112,0,1
2154,89,0,1
2161,72,0,1
2162,75,0,1
2167,84.5,17.6777,2
2174,85,0,2
2186,90,0,1
2191,115,0,1
2192,77,0,1
2193,37,0,1
2201,285,0,1
2209,70,0,1
2211,109,0,1
2214,80,0,1
2217,83,0,1
2219,117,0,1
2224,209,0,1
2225,63,0,1
2226,159,0,1
2229,73,0,1
2233,99,0,1
2243,126,0,1
2244,197,0,1
2250,103,0,1
2258,238,0,1
2259,83,0,1
2264,64,0,1
2266,122,0,1
2269,90,0,1
2271,137,0,1
2281,114,0,1
2289,103,0,1
2298,113,0,1
2301,86,0,1
2303,187,0,1
2304,100,0,1
2311,133,0,1
2322,126,0,1
2323,71,0,1
2333,98,0,1
2335,213,0,1
2337,421,0,1
2339,122,0,1
2349,121,0,1
2350,110,0,1
2351,128,0,1
2354,90,0,1
2355,90,0,1
2358,94,0,1
2364,79,0,1
2371,169,0,1
2383,230,0,1
2388,100,0,1
2392,136,0,1
2399,96,0,1
2400,541,0,1
2416,77,0,1
2423,187,0,1
2424,88,0,1
2425,115,0,1
2429,143,0,1
2431,95,0,1
2433,106,0,1
2434,174.5,2.1213,2
2439,131,0,1
2455,189,0,1
2474,239,0,1
2482,86,0,1
2484,209,0,1
2485,96,0,1
2488,139,0,1
2498,58,0,1
2500,115,0,1
2510,134,0,1
2511,498,0,1
2512,148,0,1
2513,214,0,1
2519,107,35.3553,2
2520,75,0,1
2522,110,0,1
2530,103,0,1
2534,154,0,1
2539,271,270.1148,2
2542,161,0,1
2546,82,0,1
2547,106,0,1
2548,84,0,1
2552,144,0,1
2560,278,0,1
2562,119,0,1
2573,83,0,1
2576,120,35.3553,2
2577,128,0,1
2583,83,0,1
2584,140,0,1
2603,107,0,1
2606,122,0,1
2614,179,0,1
2621,54,0,1
2622,70,0,1
2629,118,0,1
2631,161,0,1
2632,89,0,1
2640,103,0,1
2642,82,0,1
2651,67,0,1
2652,85,0,1
2659,91,0,1
2662,549,0,1
2663,186,0,1
2665,116,0,1
2679,114,0,1
2683,119,0,1
2686,88,0,1
2692,113,0,1
2702,70,12.7279,2
2707,136,0,1
2708,103,0,1
2709,121,0,1
2721,108,0,1
2743,72,0,1
2744,80,0,1
2747,137,0,1
2755,163,0,1
2770,64,0,1
2771,103,0,1
2774,148,0,1
2781,95,0,1
2786,151,0,1
2790,111,0,1
2793,142.5,41.7193,2
2794,98,0,1
2796,77,0,1
2803,906,0,1
2814,67,0,1
2824,79,0,1
2827,97,0,1
2829,96,0,1
2831,113,0,1
2832,91,0,1
2845,82,0,1
2846,109,0,1
2848,115,0,1
2866,126,0,1
2879,91,0,1
2881,177,0,1
2900,155,0,1
2905,99,0,1
2912,67,0,1
2918,70,0,1
2924,416,0,1
2934,152,0,1
2942,127,18.3848,2
2952,108,0,1
2955,80,0,1
2971,167,0,1
2977,97,0,1
2986,123,0,1
2988,121,0,1
2992,118,0,1
2994,122,0,1
2998,173,0,1
3023,400,0,1
3038,396,0,1
3048,91,0,1
3050,88,0,1
3052,63,0,1
3053,118,0,1
3061,237,0,1
3064,230,0,1
3074,80,0,1
3079,120,0,1
3110,70,0,1
3114,103,0,1
3125,136,0,1
3135,127,0,1
3137,106,0,1
3150,107,0,1
3153,114,0,1
3174,190,0,1
3177,92,0,1
3183,376,0,1
3187,125,0,1
3191,110,0,1
3206,62,0,1
3213,103,0,1
3226,146,0,1
3238,123,0,1
3240,73,0,1
3241,80,0,1
3242,101,0,1
3244,91,0,1
3245,217,0,1
3246,65,0,1
3266,79,0,1
3281,113,0,1
3293,85,0,1
3297,77.5,2.1213,2
3306,133,0,1
3312,80,0,1
3314,190,0,1
3323,165,0,1
3326,116,0,1
3331,214,0,1
3337,326,0,1
3352,110,0,1
3367,100,0,1
3369,149,0,1
3373,364,0,1
3404,165,0,1
3409,71,0,1
3411,119,0,1
3417,303,0,1
3426,161,0,1
3429,125,0,1
3438,46,0,1
3445,101,0,1
3450,137,0,1
3455,114,0,1
3468,99,41.0122,2
3496,138,0,1
3497,154,0,1
3500,219,0,1
3503,118,0,1
3505,174,0,1
3516,121,0,1
3520,61,0,1
3529,65,0,1
3537,105,0,1
3542,59,0,1
3544,141,0,1
3549,146,0,1
3564,76,0,1
3570,85.5,6.364,2
3583,140,0,1
3608,106,0,1
3610,111,0,1
3635,76,0,1
3637,128,0,1
3654,289,0,1
3657,139,0,1
3667,147,0,1
3682,90,0,1
3683,199,0,1
3684,81,0,1
3685,91,0,1
3687,175,0,1
3706,81,0,1
3710,64,0,1
3722,123,11.3137,2
3728,55,0,1
3736,148,0,1
3758,170,0,1
3761,63,0,1
3776,122,0,1
3804,150,0,1
3811,70,0,1
3812,100,0,1
3831,200,0,1
3836,334,0,1
3857,202,0,1
3859,96,0,1
3865,67,0,1
3870,84,0,1
3888,120,0,1
3893,167,0,1
3898,73,0,1
3901,179,0,1
3905,103,0,1
3921,151,0,1
3943,75,0,1
3949,214,0,1
3993,139,0,1
4005,226,0,1
4021,175,0,1
4022,141,0,1
4024,145,0,1
4025,161,0,1
4036,86,0,1
4041,84,1.4142,2
4049,89,0,1
4073,75,0,1
4115,105,0,1
4122,62,0,1
4146,139,0,1
4161,109,0,1
4218,71,0,1
4223,115,0,1
4243,241,0,1
4258,136,0,1
4259,128,0,1
4272,67,0,1
4295,77,0,1
4301,136,0,1
4311,112,0,1
4313,85,0,1
4318,100,0,1
4329,96,0,1
4347,158,0,1
4348,108,0,1
4358,77.5,0.7071,2
4384,273,0,1
4399,197,0,1
4428,99,0,1
4434,78,0,1
4443,100,0,1
4447,89,0,1
4459,422,0,1
4479,150,0,1
4503,544,0,1
4516,143,0,1
4534,133,0,1
4552,235,0,1
4573,212,0,1
4605,153,0,1
4620,103,0,1
4629,71,0,1
4664,92,0,1
4686,84,0,1
4691,124,0,1
4762,204,65.0538,2
4793,84,0,1
4835,174,0,1
4840,89,0,1
4854,113,0,1
4859,142,0,1
4891,187,0,1
4903,69,0,1
4926,94,0,1
4952,94,0,1
4959,73,0,1
4972,159,0,1
4981,170,0,1
5012,307,0,1
5015,85,0,1
5020,91,0,1
5036,175,0,1
5042,136,0,1
5048,71,0,1
5082,122,0,1
5086,221,0,1
5091,99,0,1
5108,89,0,1
5118,160,0,1
5143,208,0,1
5190,136,0,1
5205,154,0,1
5246,118,0,1
5353,128,0,1
5355,176,0,1
5366,138,0,1
5390,268,0,1
5401,203,0,1
5431,146,0,1
5441,210,0,1
5458,135,0,1
5473,122,0,1
5691,78,0,1
5715,136,0,1
5724,124,0,1
5728,141,0,1
5758,100,0,1
5789,114,0,1
5817,79,0,1
5898,70,0,1
5906,108,0,1
5907,96,0,1
5915,128,0,1
5930,238,0,1
5950,133,0,1
5951,90,0,1
5968,245,0,1
5982,116,0,1
5995,289,0,1
6035,181,0,1
6073,90,0,1
6099,213,0,1
6152,112,0,1
6175,106,0,1
6176,111,0,1
6209,161,0,1
6297,114,0,1
6316,81,0,1
6323,148,0,1
6331,394,0,1
6362,129,0,1
6388,75,0,1
6428,114,0,1
6518,81,0,1
6554,189,0,1
6609,161,0,1
6632,270,0,1
6641,111,0,1
6681,131,0,1
6690,116,0,1
6767,94,0,1
6785,141,0,1
6795,118,0,1
6806,128,0,1
6813,200,0,1
6864,143,0,1
6909,100,0,1
6919,108,0,1
6934,343,0,1
7001,456,0,1
7006,85,0,1
7039,156,0,1
7082,182,0,1
7086,80,0,1
7126,116,0,1
7146,148,0,1
7155,138,0,1
7252,148,0,1
7360,155,0,1
7388,118,0,1
7393,149,0,1
7445,65,0,1
7516,176,0,1
7553,71,0,1
7733,113,0,1
7760,190,0,1
7808,180,0,1
7823,108,0,1
7908,362,0,1
7926,124,0,1
7962,126,0,1
8020,80,0,1
8030,151,0,1
8192,129,0,1
8435,241,0,1
8440,118,0,1
8667,124,0,1
8892,91,0,1
8975,200,0,1
9133,141,0,1
9142,126,0,1
9191,107,0,1
9283,115,0,1
9306,160,0,1
9364,124,0,1
9425,288,0,1
9480,80,0,1
9527,73,0,1
9579,173,0,1
9666,108,0,1
9686,105,0,1
9975,122,0,1
10142,144,0,1
10149,243,0,1
10164,165,0,1
10354,132,0,1
10604,139,0,1
10656,76,0,1
10728,161,0,1
10752,126,0,1
10757,54,0,1
10798,135,0,1
10911,74,0,1
10938,214,0,1
11047,122,0,1
11173,89,0,1
11375,130,0,1
11482,75,0,1
11811,157,0,1
11859,106,0,1
11972,226,0,1
12244,173,0,1
12266,94,0,1
12458,150,0,1
13087,122,0,1
13399,113,0,1
13412,84,0,1
13573,91,0,1
13629,133,0,1
13642,102,0,1
13748,71,0,1
13749,171,0,1
14589,121,0,1
14648,194,0,1
14911,260,0,1
14949,74,0,1
15095,148,0,1
15268,98,0,1
16531,366,0,1
16585,366,0,1
16781,143,0,1
17365,265,0,1
17970,144,0,1
17989,111,0,1
18024,110,0,1
18118,187,0,1
18270,146,0,1
19081,101,0,1
19250,103,0,1
19548,91,0,1
19836,77,0,1
20343,113,0,1
20908,146,0,1
20960,251,0,1
20987,104,0,1
21129,337,0,1
21268,90,0,1
21850,143,0,1
22138,118,0,1
23566,153,0,1
24360,155,0,1
24608,122,0,1
26647,138,0,1
27576,138,0,1
27639,138,0,1
30932,165,0,1
34594,144,0,1
36930,204,0,1
39663,86,0,1
39916,187,0,1
39983,100,0,1
40955,144,0,1
42100,106,0,1
43687,133,0,1
50382,269,0,1
52493,139,0,1
58729,215,0,1
60194,320,0,1
63314,284,0,1
73338,78,0,1
75627,141,0,1
77358,163,0,1
78710,162,0,1
85721,179,0,1
86007,125,0,1
90958,191,0,1
134742,223,0,1
136021,151,0,1
152843,133,0,1
